Team X1 X2 X3
Atlanta_Braves 3.361 59.536 3
New_York_Mets 2.288 49.518 35
Philadelphia_Phillies 1.716 34.370 28
Florida_Marlins 0.914 9.162 23
Houston_Astros 1.750 33.434 12
Chicago_Cubs 2.450 40.629 34
St.Louis_Cardinals 2.623 49.433 85
Cincinnati_Reds 3.195 52.575 33
Milwaukee_Brewers 1.794 21.995 29
Pittsburgh_Pirates 1.812 32.393 46
San_Diego_Padres 1.561 13.352 29
San_Francisco_Giants 2.556 45.368 32
Colorado_Rockies 1.926 40.571 39
Arizona_Diamondbacks 3.089 47.970 37
New_York_Yankees 3.789 47.435 4
Boston_Red_Sox 3.603 30.572 1
Toronto_Blue_jays 2.950 63.461 76
Baltimore_Orioles 2.344 51.647 87
Tampa_Bay_Devil 2.454 48.666 10
Cleveland_Indians 3.685 68.988 7
Chicago_White_Sox 2.506 25.318 9
Kansas_City_Royals 3.467 59.584 5
Minnesota_Twins 1.391 36.840 8
Detroit_Tigers 1.495 32.963 26
Texas_Rangers 1.166 26.183 17
Anaheim_Angels 1.409 22.725 87
Seattle_Mariners 2.927 55.305 5
Oakland_Athletics 2.519 38.702 33
Montreal_Expos 2.644 52.027 23
Los_Angeles_Dodgers 1.232 20.063 33
