Company,Number_of_Shareholders(thousands)
Pan_American_World_Airways,144
General_Public_Utilities,266
Occidental_Petroleum,177
Middle_South_Utilities,133
DaimlerChrysler,209
Standard_Oil_of_California,264
Bethlehem_Steel,160
Long_Island_Lighting,143
RCA,246
Greyhound_Corporation,151
Pacific_Gas_&_Electric,239
Niagara_Mohawk_Power,204
E.I._du_Pont_de_Nemours,204
Westinghouse_Electric,195
Union_Carbide,176
BankAmerica,175
Northwest_Utilities,200
Standard_Oil_(India),173
Atlantic_Richfield,195
Detroit_Edition,220
Eastman_Kodak,251
Dow_Chemical,137
Pennsylvania_Power,150
American_Electric_Power,262
Ohio_Edition,158
Transamerica_Corporation,162
Colombia_Gas_System,165
International_Telephone,223
Union_Electric,158
Virginia_Electric_and_Power,162
Public_Service_Electric_&_Gas,225
Consumer_Power,161
